observation_date,ASPNHSUS
3/1/1998,178500
4/1/1998,176700
5/1/1998,183500
6/1/1998,175900
7/1/1998,179800
8/1/1998,186500
9/1/1998,182700
10/1/1998,182800
11/1/1998,178600
12/1/1998,183300
1/1/1999,182900
2/1/1999,191400
3/1/1999,189300
4/1/1999,192200
5/1/1999,187900
6/1/1999,193900
7/1/1999,189100
8/1/1999,193100
9/1/1999,194800
10/1/1999,200200
11/1/1999,211500
12/1/1999,202100
1/1/2000,200300
2/1/2000,199200
3/1/2000,204900
4/1/2000,207300
5/1/2000,200000
6/1/2000,197700
7/1/2000,202200
8/1/2000,200200
9/1/2000,208300
10/1/2000,215100
11/1/2000,210700
12/1/2000,208100
1/1/2001,209000
2/1/2001,211000
3/1/2001,210200
4/1/2001,205500
5/1/2001,211400
6/1/2001,211700
7/1/2001,209300
8/1/2001,207500
9/1/2001,203300
10/1/2001,207100
11/1/2001,206900
12/1/2001,228700
1/1/2002,226900
2/1/2002,226500
3/1/2002,227100
4/1/2002,228100
5/1/2002,226500
6/1/2002,225200
7/1/2002,217800
8/1/2002,221300
9/1/2002,215300
10/1/2002,231300
11/1/2002,227100
12/1/2002,237800
1/1/2003,230200
2/1/2003,233400
3/1/2003,231100
4/1/2003,237200
5/1/2003,243700
6/1/2003,239700
7/1/2003,248400
8/1/2003,241000
9/1/2003,254500
10/1/2003,242800
11/1/2003,268300
12/1/2003,253900
1/1/2004,262100
2/1/2004,264100
3/1/2004,261000
4/1/2004,269300
5/1/2004,260400
6/1/2004,263200
7/1/2004,279200
8/1/2004,272200
9/1/2004,269200
10/1/2004,289600
11/1/2004,283200
12/1/2004,284300
1/1/2005,283000
2/1/2005,289100
3/1/2005,289600
4/1/2005,289100
5/1/2005,287400
6/1/2005,279600
7/1/2005,289300
8/1/2005,295000
9/1/2005,299600
10/1/2005,293600
11/1/2005,294400
12/1/2005,290200
1/1/2006,301000
2/1/2006,307900
3/1/2006,298800
4/1/2006,310300
5/1/2006,293900
6/1/2006,305000
7/1/2006,311300
8/1/2006,317300
9/1/2006,296200
10/1/2006,306800
11/1/2006,291800
12/1/2006,301900
1/1/2007,314600
2/1/2007,321500
3/1/2007,329400
4/1/2007,311700
5/1/2007,309700
6/1/2007,306500
7/1/2007,307100
8/1/2007,301300
9/1/2007,292200
10/1/2007,310100
11/1/2007,316800
12/1/2007,284400
1/1/2008,284600
2/1/2008,301200
3/1/2008,287600
4/1/2008,314300
5/1/2008,298200
6/1/2008,299400
7/1/2008,301900
8/1/2008,265500
9/1/2008,287100
10/1/2008,274000
11/1/2008,290100
12/1/2008,263100
1/1/2009,245200
2/1/2009,258600
3/1/2009,259800
4/1/2009,269800
5/1/2009,274600
6/1/2009,274800
7/1/2009,271100
8/1/2009,257800
9/1/2009,290300
10/1/2009,263800
11/1/2009,274700
12/1/2009,278300
1/1/2010,283400
2/1/2010,284100
3/1/2010,262900
4/1/2010,270500
5/1/2010,281100
6/1/2010,256700
7/1/2010,252100
8/1/2010,268800
9/1/2010,270800
10/1/2010,254400
11/1/2010,281700
12/1/2010,291700
1/1/2011,275700
2/1/2011,262800
3/1/2011,260800
4/1/2011,268900
5/1/2011,262700
6/1/2011,273100
7/1/2011,270300
8/1/2011,259300
9/1/2011,255400
10/1/2011,258300
11/1/2011,250000
12/1/2011,262900
1/1/2012,265700
2/1/2012,274000
3/1/2012,283600
4/1/2012,287900
5/1/2012,280900
6/1/2012,271800
7/1/2012,282300
8/1/2012,305500
9/1/2012,297700
10/1/2012,285400
11/1/2012,290700
12/1/2012,299200
1/1/2013,306900
2/1/2013,312500
3/1/2013,300200
4/1/2013,337000
5/1/2013,314000
6/1/2013,306100
7/1/2013,329900
8/1/2013,310800
9/1/2013,321400
10/1/2013,335700
11/1/2013,335600
12/1/2013,321200
1/1/2014,337300
2/1/2014,325900
3/1/2014,331500
4/1/2014,325100
5/1/2014,323500
6/1/2014,338100
7/1/2014,345200
8/1/2014,356200
9/1/2014,319100
10/1/2014,377500
11/1/2014,348900
12/1/2014,373200
1/1/2015,348300
2/1/2015,346300
3/1/2015,349300
4/1/2015,340400
5/1/2015,336200
6/1/2015,326900
7/1/2015,341200
8/1/2015,343300
9/1/2015,357200
10/1/2015,368900
11/1/2015,373200
12/1/2015,352500
1/1/2016,361200
2/1/2016,341700
3/1/2016,359000
4/1/2016,369300
5/1/2016,349700
6/1/2016,357800
7/1/2016,353000
8/1/2016,355100
9/1/2016,366100
10/1/2016,352200
11/1/2016,363400
12/1/2016,382500
1/1/2017,357700
2/1/2017,370500
3/1/2017,384400
4/1/2017,365800
5/1/2017,378400
6/1/2017,370600
7/1/2017,372400
8/1/2017,369200
9/1/2017,379300
10/1/2017,394000
11/1/2017,388500
12/1/2017,402900
1/1/2018,377800
2/1/2018,373600
3/1/2018,369200
4/1/2018,385100
5/1/2018,372600
6/1/2018,370100
7/1/2018,392300
8/1/2018,380900
9/1/2018,386400
10/1/2018,394900
11/1/2018,367100
12/1/2018,381800
1/1/2019,361100
2/1/2019,383600
3/1/2019,372700
4/1/2019,385400
5/1/2019,379100
6/1/2019,361900
7/1/2019,373500
8/1/2019,392700
9/1/2019,372100
10/1/2019,380300
11/1/2019,384400
12/1/2019,377700
1/1/2020,384000
2/1/2020,386200
3/1/2020,375400
4/1/2020,358900
5/1/2020,366900
6/1/2020,377900
7/1/2020,384500
8/1/2020,390600
9/1/2020,411300
10/1/2020,394400
11/1/2020,397500
12/1/2020,386800
1/1/2021,411900
2/1/2021,423700
3/1/2021,408100
4/1/2021,427100
